outletCode,latitude,longitude,outletType,outletCategory
customer_id_1535,30.16220093,31.28280067,type_6,category_1
customer_id_1640,30.08250046,31.1928997,type_8,category_1
customer_id_1631,30.11759949,31.25370026,type_5,category_1
customer_id_625,30.13549995,31.38489914,type_4,category_1
customer_id_1605,30.14669991,31.14509964,type_5,category_1
customer_id_1610,30.15309906,31.14019966,type_5,category_1
customer_id_811,30.09320068,31.31949997,type_4,category_1
customer_id_1628,30.12350082,31.26939964,type_5,category_1
customer_id_1699,30.02599907,31.11560059,type_5,category_1
customer_id_2743,30.1446991,31.39979935,type_8,category_1
customer_id_1180,30.05900002,31.24209976,type_5,category_1
customer_id_1694,30.03960037,31.17259979,type_5,category_1
customer_id_2241,30.01619911,31.29910088,type_4,category_1
customer_id_1680,29.93869972,30.91799927,type_5,category_1
customer_id_1687,30.04439926,31.17099953,type_5,category_1
customer_id_1910,30.10350037,31.37269974,type_4,category_1
customer_id_1507,30.10140038,31.22240067,type_5,category_1
customer_id_1501,30.14150047,31.34300041,type_5,category_1
customer_id_2018,30.04490089,31.32889938,type_4,category_1
customer_id_2721,30.14609909,31.39920044,type_8,category_1
customer_id_1512,30.16810036,31.46859932,type_5,category_1
customer_id_1522,30.16640091,31.47520065,type_5,category_1
customer_id_1169,30.04579926,31.3253994,type_4,category_1
customer_id_1525,30.16640091,31.47489929,type_5,category_1
customer_id_1463,29.9197998,30.88890076,type_5,category_1
customer_id_1464,29.99169922,31.17090034,type_5,category_1
customer_id_2003,30.08699989,31.29910088,type_4,category_1
customer_id_1533,30.18950081,31.16449928,type_5,category_1
customer_id_852,30.06019974,31.35099983,type_4,category_1
customer_id_1573,30.13100052,31.26210022,type_5,category_1
customer_id_1644,30.09129906,31.20330048,type_5,category_1
customer_id_826,29.84760094,31.31579971,type_5,category_1
customer_id_780,30.13080025,31.38059998,type_3,category_1
customer_id_2761,30.04669952,31.35079956,type_5,category_1
customer_id_2695,30.13419914,31.3798008,type_3,category_1
customer_id_612,30.14119911,31.42280006,type_3,category_1
customer_id_2724,30.10420036,31.26180077,type_5,category_1
customer_id_1003,29.98730087,31.28689957,type_3,category_1
customer_id_2002,30.06150055,31.35440063,type_3,category_1
customer_id_1774,30.02779961,31.16539955,type_3,category_1
customer_id_1291,30.13909912,31.39570045,type_3,category_1
customer_id_151,30.13820076,31.21769905,type_5,category_1
customer_id_2063,30.09280014,31.30579948,type_3,category_1
customer_id_1304,30.00060081,31.14719963,type_3,category_1
customer_id_34,30.14170074,31.3465004,type_3,category_1
customer_id_2733,30.09440041,31.25569916,type_5,category_1
customer_id_653,30.07970047,31.37929916,type_3,category_1
customer_id_794,30.13929939,31.39620018,type_3,category_1
customer_id_883,30.04820061,31.32239914,type_3,category_1
customer_id_2707,29.70240021,31.28779984,type_5,category_1
customer_id_923,30.04439926,31.37339973,type_5,category_1
customer_id_2717,30.11560059,31.30459976,type_5,category_1
customer_id_311,29.98870087,31.19300079,type_5,category_1
customer_id_1755,29.98830032,31.21459961,type_8,category_1
customer_id_2168,29.98469925,31.26259995,type_8,category_1
customer_id_971,30.13949966,31.39710045,type_4,category_1
customer_id_882,30.04739952,31.32740021,type_4,category_1
customer_id_1635,30.11919975,31.25819969,type_5,category_1
customer_id_1636,30.09449959,31.20509911,type_5,category_1
customer_id_825,30.05039978,31.32049942,type_5,category_1
customer_id_1086,30.09469986,31.32279968,type_8,category_1
customer_id_1069,29.5739994,31.30080032,type_5,category_1
customer_id_620,30.01350021,31.33530045,type_5,category_1
customer_id_786,29.97909927,31.39800072,type_5,category_1
customer_id_1880,29.87439919,31.2493,type_6,category_1
customer_id_1240,30.10860062,31.29310036,type_5,category_1
customer_id_783,30.06139946,31.38050079,type_5,category_1
customer_id_1750,30.17020035,31.05179977,type_6,category_1
customer_id_1394,30.07620049,31.15410042,type_5,category_1
customer_id_1772,30.2154007,31.24819946,type_5,category_1
customer_id_1773,30.00020027,31.15320015,type_5,category_1
